surfline_spot_id,name,timestamp,avg_height,swell1_height,swell1_period,swell1_direction,swell1_is_favorable_direction,swell2_height,swell2_period,swell2_direction,swell2_is_favorable_direction,swell3_height,swell3_period,swell3_direction,swell3_is_favorable_direction,swell4_height,swell4_period,swell4_direction,swell4_is_favorable_direction,swell5_height,swell5_period,swell5_direction,swell5_is_favorable_direction,swell6_height,swell6_period,swell6_direction,swell6_is_favorable_direction
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-15 16:00:33.912656,2.5,1.9,12,181.41,Y,0,0,0,N,0,0,0,N,0.59,6,272.81,Y,0.39,16,188.44,Y,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-16 00:02:35.415082,2.5,0.66,5,244.69,Y,0,0,0,N,1.77,12,182.81,Y,0.72,6,284.06,N,0.49,14,223.59,Y,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-16 00:02:35.415082,2.5,0.49,16,201.09,N,1.84,12,187.03,Y,0.75,5,251.72,Y,0.3,7,285.47,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-16 00:02:35.415082,2.5,0.59,14,222.19,Y,1.41,12,185.63,N,1.35,6,275.63,N,0.62,9,196.88,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-16 00:02:35.415082,3.5,5.81,9,306.56,Y,2.69,5,251.72,N,2.69,4,209.53,N,2.1,14,185.63,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-16 00:02:35.415082,2.5,1.67,12,189.84,N,1.21,6,271.41,Y,0.62,9,195.47,N,0.69,10,299.53,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-16 00:02:35.415082,2.5,0.49,12,184.22,Y,0.89,6,275.63,Y,0.49,12,282.66,N,0.2,16,205.31,N,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-16 00:02:35.415082,2.5,0,0,0,N,1.9,12,181.41,Y,0,0,0,N,0.59,6,272.81,Y,0.39,16,188.44,Y,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-16 16:00:47.007045,2.5,0.52,15,187.03,Y,0.59,15,225,Y,1.38,12,182.81,Y,0.66,6,284.06,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-16 16:00:47.007045,2.5,0.36,4,261.56,N,0.33,6,285.47,N,1.38,12,185.63,Y,0.75,15,206.72,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-16 16:00:47.007045,2.5,0.85,6,277.03,N,0.79,15,213.75,Y,1.28,12,189.84,N,0,0,0,N,0.66,14,284.06,Y,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-22 16:00:24.603772,2.5,1.38,12,195.47,N,0.79,6,265.78,Y,0.72,18,205.31,N,0.3,8,286.88,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-22 16:00:24.603772,2.5,0.2,6,271.41,Y,0,0,0,N,0.39,12,195.47,N,0.2,8,279.84,Y,0.2,20,196.88,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-22 16:00:24.603772,3.0,0.69,20,185.63,Y,0.3,6,271.41,Y,1.21,12,187.03,Y,0,0,0,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-24 00:01:14.646091,2.5,0.92,11,188.44,Y,2.13,7,241.88,Y,1.54,16,192.66,N,1.35,4,195.47,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-24 00:01:14.646091,2.5,2.13,7,244.69,Y,1.64,16,194.06,N,1.21,4,199.69,N,1.21,11,196.88,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-24 00:01:14.646091,3.5,1.21,11,199.69,Y,2.53,8,248.91,N,1.74,16,199.69,Y,0,0,0,N,0.33,18,286.88,Y,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-24 00:01:14.646091,4.25,2.4,8,319.22,Y,2.59,16,295.31,N,2.2,7,205.31,N,0,0,0,N,1.41,18,188.44,Y,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-24 00:01:14.646091,3.5,2.66,8,250.31,N,1.87,16,202.5,N,1.25,11,199.69,N,0.36,18,281.25,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-24 00:01:14.646091,2.5,0.59,4,171.56,Y,0.59,16,198.28,N,0,0,0,N,0.59,8,270,Y,0.49,6,212.34,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-24 00:01:14.646091,3.5,1.61,16,188.44,Y,0.69,3,185.63,Y,0.98,11,188.44,Y,0.49,8,270,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-26 00:00:42.668442,2.0,1.08,4,254.53,Y,1.12,5,236.25,Y,1.74,14,199.69,N,1.38,4,281.25,N,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-26 00:00:42.668442,2.0,2,5,253.13,Y,0.46,2,250.31,Y,1.9,14,199.69,N,0.43,14,281.25,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-26 00:00:42.668442,3.0,1.51,6,253.13,N,1.97,14,203.91,Y,1.15,3,288.28,Y,0,0,0,N,0.98,14,288.28,Y,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-26 00:00:42.668442,3.75,1.61,7,317.81,Y,3.9,12,306.56,Y,1.41,4,274.22,Y,1.9,14,202.5,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-26 00:00:42.668442,3.0,1.15,3,291.09,N,1.54,6,253.13,N,2.03,14,202.5,N,0,0,0,N,1.08,14,288.28,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-26 00:00:42.668442,2.5,1.41,4,272.81,Y,0.2,9,167.34,N,0.69,14,282.66,N,0.59,14,202.5,N,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-26 00:00:42.668442,3.0,1.41,14,192.66,N,0.49,9,174.38,Y,1.12,5,274.22,Y,0.2,14,268.59,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-26 16:00:24.364408,3.0,4.1,5,272.81,N,0,0,0,N,1.25,12,191.25,N,1.05,14,222.19,Y,0.49,12,284.06,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-26 16:00:24.364408,3.0,3.35,5,262.97,N,0.33,18,223.59,Y,1.77,12,201.09,N,0,0,0,N,0.33,12,281.25,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-26 16:00:24.364408,3.75,2.49,4,278.44,N,1.84,12,206.72,Y,0,0,0,N,0.69,14,288.28,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-26 16:00:24.364408,3.5,2.69,4,295.31,N,4.99,10,309.38,Y,1.9,12,206.72,N,0,0,0,N,0.49,16,180,Y,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-26 16:00:24.364408,3.75,2.59,4,279.84,Y,1.9,12,205.31,N,0,0,0,N,0.75,12,289.69,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-26 16:00:24.364408,2.5,2.1,4,272.81,Y,0.59,14,203.91,N,0.59,12,282.66,N,0,0,0,N,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-26 16:00:24.364408,3.0,0.98,12,195.47,N,1.51,4,275.63,Y,0.3,9,172.97,Y,0.79,15,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-27 00:02:28.381427,3.0,4.1,5,272.81,N,0,0,0,N,1.25,12,191.25,N,1.05,14,222.19,Y,0.49,12,284.06,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-27 00:02:28.381427,3.0,3.35,5,262.97,N,1.77,12,201.09,N,0.33,12,281.25,N,0.33,18,223.59,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-27 00:02:28.381427,3.75,2.49,4,278.44,N,1.84,12,206.72,Y,0,0,0,N,0.69,14,288.28,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-27 00:02:28.381427,3.5,2.69,4,295.31,N,4.99,10,309.38,Y,0,0,0,N,1.9,12,206.72,N,0.49,16,180,Y,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-27 00:02:28.381427,3.75,2.59,4,279.84,Y,0,0,0,N,1.9,12,205.31,N,0,0,0,N,0.75,12,289.69,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-27 00:02:28.381427,2.5,0,0,0,N,2.1,4,272.81,Y,0.59,12,282.66,N,0.59,14,203.91,N,0,0,0,N,0,0,0,N
5977abb3b38c2300127471ec,HB Pier Southside,2020-03-27 00:02:28.381427,3.0,1.51,4,275.63,Y,0.98,12,195.47,N,0.3,9,172.97,Y,0.79,15,181.41,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-27 16:00:41.416655,3.5,3.61,5,275.63,N,1.8,5,257.34,Y,1.15,16,223.59,Y,1.12,14,188.44,Y,0,0,0,N,0,0,0,N
5842041f4e65fad6a770893f,Leo Carillo,2020-03-17 00:01:16.100093,2.5,0.52,15,187.03,Y,0.66,6,284.06,N,0.59,15,225,Y,1.38,12,182.81,Y,0,0,0,N,0,0,0,N
584204214e65fad6a7709b9f,Malibu First Point,2020-03-17 00:01:16.100093,2.5,0.36,4,261.56,N,0.33,6,285.47,N,1.38,12,185.63,Y,0.75,15,206.72,N,0,0,0,N,0,0,0,N
5842041f4e65fad6a770883c,Windansea,2020-03-17 00:01:16.100093,2.5,0.85,6,277.03,N,0.79,15,213.75,Y,0,0,0,N,1.28,12,189.84,N,0.66,14,284.06,Y,0,0,0,N
5842041f4e65fad6a7708805,Steamer Lane,2020-03-17 00:01:16.100093,2.5,6.69,10,295.31,N,0,0,0,N,1.51,12,181.41,Y,0.59,16,185.63,Y,0.69,15,219.38,N,0,0,0,N
5842041f4e65fad6a7708840,Sunset Cliffs,2020-03-17 00:01:16.100093,2.5,0.85,6,275.63,Y,0.82,15,210.94,N,1.38,11,188.44,N,0.66,9,299.53,N,0,0,0,N,0,0,0,N
584204204e65fad6a77096b1,Ventura Point,2020-03-17 00:01:16.100093,2.5,0.98,6,275.63,Y,0.39,12,180,Y,0.49,12,282.66,N,0.3,15,205.31,N,0,0,0,N,0,0,0,N
